Palladium,,,nature,"metals, noble, elements","Palladium is a chemical element with the symbol Pd and atomic number 46. It is a rare and lustrous silvery-white metal discovered in 1803 by William Hyde Wollaston. He named it after the asteroid Pallas, which was itself named after the epithet of the Greek goddess Athena, acquired by her when she slew Pallas. Palladium, platinum, rhodium, ruthenium, iridium and osmium form a group of elements referred to as the platinum group metals (PGMs). These have similar chemical properties, but palladium has the lowest melting point and is the least dense of them.","de:Palladium, es:Paladio, fr:Palladium, nl:Palladium (element)"
Spider-Man (2002 film),,,culture,"films, york, american","Spider-Man is a 2002 American superhero film based on the Marvel Comics character of the same name. Directed by Sam Raimi from a screenplay by David Koepp, it is the first installment in the Spider-Man trilogy, and stars Tobey Maguire as the title character, alongside Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson, and Rosemary Harris. The film centers on an outcast teen genius named Peter Parker, who develops spider-like superhuman abilities after being bitten by a genetically-altered spider. After his foster father/uncle is murdered by an armed felon, something of which he felt partially responsible, a guilt-ridden Parker is later driven to use his new abilities for a nobler purpose, as the hero/vigilante Spider-Man, to atone for his uncle's murder. The rest of the film focuses on Parker's efforts to balance his personal life as he graduates from high school and becomes a freelance photographer, while also struggling with his studies, his friendship with his childhood best friend Harry Osborn, his growing feelings for his former high school crush Mary Jane Watson, and his dual life as Spider-Man.","de:Spider-Man (Film), es:Spider-Man (película), fr:Spider-Man (film), nl:Spider-Man (film uit 2002)"
Star Wars: Episode III – Revenge of the Sith,,,culture,"films, american, shot","Star Wars: Episode III – Revenge of the Sith is a 2005 American epic space-opera film written and directed by George Lucas. It is the sixth episode released in the Star Wars film series and stars Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Samuel L. Jackson, Christopher Lee, Anthony Daniels, Kenny Baker, and Frank Oz. It is the third installment in the Star Wars prequel trilogy, following The Phantom Menace (1999) and Attack of the Clones (2002), and the third chapter of the nine-part 'Skywalker saga'.","de:Star Wars: Episode III, es:Star Wars: Episodio III - La venganza de los Sith, fr:Star Wars, épisode III : La Revanche des Sith, nl:Star Wars: Episode III: Revenge of the Sith"
Yogurt,,,health,"cuisine, ancient, turkish","Yogurt, yoghurt, or yoghourt (/ˈjoʊɡərt/ or /ˈjɒɡət/; from Turkish: yoğurt; other spellings listed below) is a food produced by bacterial fermentation of milk.","de:Joghurt, es:Yogur, fr:Yaourt, nl:Yoghurt"
Kingdom Hearts III,,,culture,"games, video, kingdom","Kingdom Hearts III is an upcoming action role-playing video game developed and published by Square Enix for the PlayStation 4 and Xbox One. It is the twelfth installment in the Kingdom Hearts series, a sequel to Kingdom Hearts II, and the final chapter in the Dark Seeker saga. Set after the events of Kingdom Hearts 3D: Dream Drop Distance, returning protagonist Sora is joined by Donald Duck, Goofy, King Mickey and Riku in their search for the seven Guardians of Light and the ""Key to Return Hearts"" as they attempt to thwart Master Xehanort's plan to bring about a second Keyblade War. Their journey has them cross paths with characters and visit worlds based on different Disney, and Pixar properties, and Square Enix's Final Fantasy franchise.","es:Kingdom Hearts III, fr:Kingdom Hearts 3"
Madrid,40°23′N 3°43′W,,region,"madrid, places, populated","Madrid (/məˈdrɪd/, Spanish: [maˈðɾid], locally: [maˈðɾiθ, -ˈðɾi]) is a south-western European city, the capital of Spain, and the largest municipality of the Community of Madrid. The population of the city is almost 3.2 million with a metropolitan area population of around 6.5 million. It is the third-largest city in the European Union, after London and Berlin, and its metropolitan area is the third-largest in the European Union after London and Paris. The city spans a total of 604.3 km2 (233.3 sq mi).","de:Madrid, es:Madrid, fr:Madrid, nl:Madrid (stad)"
Golf,,,sports,"sports, games, activities",Golf is a club-and-ball sport in which players use various clubs to hit balls into a series of holes on a course in as few strokes as possible.,"de:Golf (Sport), es:Golf, fr:Golf, nl:Golf (sport)"
Performance indicator,,,economy,"metrics, performance, management","A performance indicator or key performance indicator (KPI) is a type of performance measurement. KPIs evaluate the success of an organization or of a particular activity (such as projects, programs, products and other initiatives) in which it engages.","de:Key Performance Indicator, es:Indicador clave de rendimiento, fr:Indicateur clé de performance, nl:Kritieke prestatie-indicator"
Neha Kapur,,1984 ♀,culture,"miss, contestants, people","Neha Kapur (born 31 March 1984) is an Indian model, actress, and former beauty queen who won Femina Miss India in 2006 and represented India at the Miss Universe pageant that year. She is married to Kunal Nayyar.",es:Neha Kapur
Heart failure,,,health,"diseases, heart, organ","Heart failure (HF), often referred to as congestive heart failure (CHF), is when the heart is unable to pump sufficiently to maintain blood flow to meet the body's needs. Signs and symptoms commonly include shortness of breath, excessive tiredness, and leg swelling. The shortness of breath is usually worse with exercise, while lying down, and may wake the person at night. A limited ability to exercise is also a common feature. Chest pain, including angina, does not typically occur due to heart failure.","de:Herzinsuffizienz, es:Insuficiencia cardíaca, fr:Insuffisance cardiaque chez l'humain, nl:Hartfalen"
Ruby,,,nature,"minerals, trigonal, gemstones","A ruby is a pink to blood-red colored gemstone, a variety of the mineral corundum (aluminium oxide). Other varieties of gem-quality corundum are called sapphires. Ruby is one of the traditional cardinal gems, together with amethyst, sapphire, emerald, and diamond. The word ruby comes from ruber, Latin for red. The color of a ruby is due to the element chromium.","de:Rubin, es:Rubí, fr:Rubis, nl:Robijn (korund)"
Ronan the Accuser,,,culture,"characters, comics, marvel","Ronan the Accuser is a fictional character appearing in American comic books published by Marvel Comics. He is the Supreme Accuser of the Kree Empire, the militaristic government of the fictional alien race known as the Kree, and is commonly depicted as an adversary of superhero teams such as the Fantastic Four, the Avengers, and the Guardians of the Galaxy.","es:Ronan el Acusador, fr:Ronan l'Accusateur, nl:Ronan the Accuser"
Social network,,,technology,"theory, systems, social","A social network is a social structure made up of a set of social actors (such as individuals or organizations), sets of dyadic ties, and other social interactions between actors. The social network perspective provides a set of methods for analyzing the structure of whole social entities as well as a variety of theories explaining the patterns observed in these structures. The study of these structures uses social network analysis to identify local and global patterns, locate influential entities, and examine network dynamics.","de:Soziales Netzwerk (Soziologie), es:Red social, fr:Réseau social, nl:Sociaal netwerk"
Ravenswood (TV series),,,culture,"television, series, american","Ravenswood is an American supernatural teen drama, mystery-thriller television series created by I. Marlene King, Oliver Goldstick and Joseph Dougherty. The show premiered on ABC Family on October 22, 2013 and ended on February 4, 2014. It is the first spin-off series of Pretty Little Liars and the second series in the Pretty Little Liars franchise. Ravenswood takes place during the events of the original series' fourth season.","de:Ravenswood (Fernsehserie), es:Ravenswood (serie de televisión), fr:Ravenswood (série télévisée)"
Demography of the United States,,,region,"states, demographics, united","As of December 2, 2015, the United States has a total resident population of 322,267,564, making it the third most populous country in the world. It is very urbanized, with 81% residing in cities and suburbs as of 2014 (the worldwide urban rate is 54%). California and Texas are the most populous states, as the mean center of U.S. population has consistently shifted westward and southward. New York City is the most populous city in the United States.","es:Demografía de los Estados Unidos, fr:Démographie des États-Unis"
Captain America: The First Avenger,,,culture,"films, shot, fiction","Captain America: The First Avenger is a 2011 American superhero film based on the Marvel Comics character Captain America, produced by Marvel Studios and distributed by Paramount Pictures. It is the fifth installment in the Marvel Cinematic Universe. The film was directed by Joe Johnston, written by Christopher Markus & Stephen McFeely, and stars Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper, Neal McDonough, Derek Luke, and Stanley Tucci. Set predominantly during World War II, the film tells the story of Steve Rogers, a sickly man from Brooklyn who is transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull, Adolf Hitler's ruthless head of weaponry and the leader of an organization that intends to use an artifact called the ""Tesseract"" as an energy-source for world domination.","de:Captain America: The First Avenger, es:Capitán América: el primer vengador, fr:Captain America: First Avenger, nl:Captain America: The First Avenger"
Spider-Man 2,,,culture,"films, sequel, york","Spider-Man 2 is a 2004 American superhero film directed by Sam Raimi and written by Alvin Sargent from a story by Alfred Gough, Miles Millar and Michael Chabon. A sequel to the 2002 film Spider-Man, it is the second installment in the Spider-Man trilogy based on the fictional Marvel Comics character of the same name. Tobey Maguire stars as Peter Parker / Spider-Man, alongside Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris, and Donna Murphy.","de:Spider-Man 2, es:Spider-Man 2, fr:Spider-Man 2, nl:Spider-Man 2"
Charlie Sheen,,1965 ♂,culture,"american, actors, male","Carlos Irwin Estévez (born September 3, 1965), best known by his stage name Charlie Sheen, is an American actor. Sheen rose to fame after a series of successful films such as Platoon (1986), Wall Street (1987), Young Guns (1988), Eight Men Out (1988), Major League (1989), Hot Shots! (1991), and The Three Musketeers (1993).","de:Charlie Sheen, es:Charlie Sheen, fr:Charlie Sheen, nl:Charlie Sheen"
Beware the Batman,,,culture,"television, series, american","Beware the Batman is an American computer-animated television series based on the DC Comics superhero Batman. The series premiered in the United States on Cartoon Network on July 13, 2013, as part of their DC Nation block, replacing Batman: The Brave and the Bold. The series was produced by Warner Bros. Animation and DC Entertainment. The series ran on Cartoon Network until it was pulled from the schedule four months after its premiere, without official explanation. After the series was put on hiatus, the remaining episodes of the season began to air on Adult Swim's Toonami block, from July 27 to September 28, 2014.","es:Beware the Batman, fr:Prenez garde à Batman !"
Sagrada Família,41°24′13″N 2°10′28″E,,region,"barcelona, buildings, spain","The Basílica i Temple Expiatori de la Sagrada Família (Catalan pronunciation: [səˈɣɾaðə fəˈmili.ə]; Spanish: Templo Expiatorio de la Sagrada Familia; English: Basilica and Expiatory Church of the Holy Family) is a large unfinished Roman Catholic church in Barcelona, designed by Spanish architect Antoni Gaudí (1852–1926). Gaudí's work on the building is part of a UNESCO World Heritage Site, and in November 2010 Pope Benedict XVI consecrated and proclaimed it a minor basilica, as distinct from a cathedral, which must be the seat of a bishop.","de:Sagrada Família, es:Templo Expiatorio de la Sagrada Familia, fr:Sagrada Família, nl:Sagrada Família"
Bigg Boss (Hindi season 8),,,culture,"seasons, television, series)","Bigg Boss 8, which merged into Bigg Boss Halla Bol!, was the eighth season of the Indian reality television series Bigg Boss, which premiered on TV channel Colors from 21 September 2014  and concluded on 3 January 2015 with five final contestants. Bigg Boss is the Indian edition of Big Brother. Salman Khan returned as the host of the series for the fifth time  and Snapdeal was chosen to be the new presenting sponsor after the end of Colors' five-year deal with Vodafone India for the series.",
Incandescent light bulb,,,technology,"bulbs, thomas, incandescent","An incandescent light bulb, incandescent lamp or incandescent light globe is an electric light with a wire filament heated to such a high temperature that it glows with visible light (incandescence). The filament is protected from oxidation with a glass or fused quartz bulb that is filled with inert gas or a vacuum. In a halogen lamp, filament evaporation is slowed by a chemical process that redeposits metal vapor onto the filament, thereby extending its life.","de:Glühlampe, es:Lámpara incandescente, fr:Lampe à incandescence, nl:Gloeilamp"
Thirty-fourth Amendment of the Constitution of Ireland,,,politics,"ireland, lgbt, history","The Thirty-fourth Amendment of the Constitution is an amendment to the Constitution of Ireland that permits marriage to be contracted by two persons without distinction as to their sex. Prior to the enactment, the Constitution was assumed to contain an implicit prohibition on same-sex marriage. The amendment was effected by the Thirty-fourth Amendment of the Constitution (Marriage Equality) Act 2015 (previously Bill No. 6 of 2015), which was approved at a referendum on 22 May 2015 by 62% of voters on a turnout of 61%. This was the first time that a country legalised same-sex marriage through a popular vote. The bill was signed into law by the President of Ireland on 29 August 2015. The signing into law had been delayed to allow for two legal challenges regarding the conduct of the referendum. The Court of Appeal dismissed the petitions on 30 July 2015.","de:Verfassungsreferendum über die gleichgeschlechtliche Ehe in Irland 2015, fr:Référendum irlandais sur le mariage homosexuel"
Cholera,,,health,"diseases, illnesses, disorders","Cholera is an infection of the small intestine by some strains of the bacterium Vibrio cholerae. Symptoms may range from none, to mild, to severe. The classic symptom is large amounts of watery diarrhea that lasts a few days. Vomiting and muscle cramps may also occur. Diarrhea can be so severe that it leads within hours to severe dehydration and electrolyte imbalance. This may result in sunken eyes, cold skin, decreased skin elasticity, and wrinkling of the hands and feet. Dehydration can cause the skin to turn bluish. Symptoms start two hours to five days after exposure.","de:Cholera, es:Cólera, fr:Choléra, nl:Cholera"
J. M. W. Turner,,1775-1851 ♂,culture,"english, painters, people","Joseph Mallord William Turner RA (23 April 1775 – 19 December 1851), known as J. M. W. Turner and contemporarily as William Turner, was an English Romantic painter, printmaker and watercolourist, known for his expressive colourisation, imaginative landscapes and turbulent, often violent marine paintings. Turner was born in Maiden Lane, Covent Garden, London, to a modest lower middle-class family. He lived in London all his life, retaining his Cockney accent and assiduously avoiding the trappings of success and fame. A child prodigy, Turner studied at the Royal Academy of Arts from 1789, enrolling when he was 14, and exhibited his first work there at 21. During this period, he also served as an architectural draftsman. He earned a steady income from commissions and sales, which due to his troubled, contrary nature, were often begrudgingly accepted. He opened his own gallery in 1804 and became professor of perspective at the Academy in 1807, where he lectured until 1828, although he was viewed as profoundly inarticulate. He traveled to Europe from 1802, typically returning with voluminous sketchbooks.","de:William Turner, es:Joseph Mallord William Turner, fr:Joseph Mallord William Turner, nl:William Turner"
Bangtan Boys,,,culture,"groups, south, korean","Bangtan Boys (Hangul: 방탄소년단; RR: Bangtan Sonyeondan), also known as BTS, is a seven-member South Korean boy group formed by Big Hit Entertainment. The name of the band, Bangtan Sonyeondan, is a combination of ""방탄"" which means bulletproof and ""소년단"" which means boy scouts. They debuted on June 13, 2013 with the song ""No More Dream"" from their first album, 2 Cool 2 Skool.","de:Bangtan Boys, es:Bangtan Boys, fr:Bangtan Boys"
Alicia Keys,,1981 ♀,culture,"american, people, african-american","Alicia Augello Cook (born January 25, 1981), known professionally as Alicia Keys, is an American singer-songwriter and musician. A classically-trained pianist, Keys was composing songs by age 12 and was signed at 15 years old by Columbia Records. After disputes with the label, she signed with Arista Records, and later released her debut album, Songs in A Minor, with J Records in 2001. The album was critically and commercially successful, producing her first Billboard Hot 100 number-one single ""Fallin'"" and selling over 12 million copies worldwide. The album earned Keys five Grammy Awards in 2002. Her second album, The Diary of Alicia Keys (2003), was also a critical and commercial success, spawning successful singles ""You Don't Know My Name"", ""If I Ain't Got You"" and ""Diary"", and selling eight million copies worldwide. The album garnered her an additional four Grammy Awards. Her duet song ""My Boo"" with Usher became her second number-one single in 2004. Keys released her first live album, Unplugged (2005), and became the first female to have an MTV Unplugged album debut at number one.","de:Alicia Keys, es:Alicia Keys, fr:Alicia Keys, nl:Alicia Keys"
Revolver Rani,,,culture,"films, indian, hindi-language","Revolver Rani (transl. The revolver queen) is a 2014 Indian crime drama film written and directed by Sai Kabir. Presented by Wave Cinemas, the film stars Kangana Ranaut and Vir Das, with Piyush Mishra, Zakir Hussain and Pankaj Saraswat in supporting roles. It is a satirical love story set against the backdrop of politics. Revolver Rani was released on 25 April 2014.",
Sharia,,,religion,"islamic, codes, jurisprudence","Sharia, Islamic sharia or Islamic law (Arabic: شريعة‎ (IPA: [ʃaˈriːʕa]) for law) is the basic Islamic legal system derived from the religious precepts of Islam, particularly the Quran and the Hadith. The term sharia comes from the Arabic language term sharīʿah, which means a body of moral and religious law derived from religious prophecy, as opposed to human legislation.","de:Scharia, es:Sharia, fr:Charia, nl:Sharia"
Peritoneal mesothelioma,,,health,"system, neoplasia, respiratory",Peritoneal mesothelioma is the name given to the cancer that attacks the lining of the abdomen. This type of cancer affects the lining that protects the contents of the abdomen and which also provides a lubricating fluid to enable the organs to move and work properly.,
Java (programming language),,,technology,"programming, languages, java","Java is a general-purpose computer programming language that is concurrent, class-based, object-oriented, and specifically designed to have as few implementation dependencies as possible. It is intended to let application developers ""write once, run anywhere"" (WORA), meaning that compiled Java code can run on all platforms that support Java without the need for recompilation. Java applications are typically compiled to bytecode that can run on any Java virtual machine (JVM) regardless of computer architecture. As of 2016, Java is one of the most popular programming languages in use, particularly for client-server web applications, with a reported 9 million developers. Java was originally developed by James Gosling at Sun Microsystems (which has since been acquired by Oracle Corporation) and released in 1995 as a core component of Sun Microsystems' Java platform. The language derives much of its syntax from C and C++, but it has fewer low-level facilities than either of them.","de:Java (Programmiersprache), es:Java (lenguaje de programación), fr:Java (langage), nl:Java (programmeertaal)"
Race and ethnicity in the United States,,,region,"united, states, demographics","Race and ethnicity in the United States is a complex topic because the United States of America has a racially and ethnically diverse population. At the federal level, race and ethnicity have been categorized separately.",es:Etnografía de Estados Unidos
Hemorrhoid,,,health,"diseases, anus, lymphatic","Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their normal state, they are cushions that help with stool control. They become a disease when swollen or inflamed. The signs and symptoms of hemorrhoids depend on the type present. Internal hemorrhoids usually present with painless, bright red rectal bleeding. External hemorrhoids may produce few symptoms or, if thrombosed, significant pain and swelling in the area of the anus. Symptoms frequently get better in a few days.","de:Hämorrhoiden, es:Hemorroides, fr:Pathologie hémorroïdaire, nl:Aambei"
"To be, or not to be",,,culture,"monologues, phrases, shakespearean","""To be, or not to be"" is the opening phrase of a soliloquy uttered by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play Hamlet, Act 3, Scene 1. In the speech, Hamlet contemplates death and suicide, bemoaning the pain and unfairness of life but acknowledging that the alternative might be worse. The opening line is one of the most widely known and quoted lines in modern English, and the soliloquy has been referenced in innumerable works of theatre, literature and music.","de:Sein oder Nichtsein, das ist hier die Frage, es:Ser o no ser, fr:To be, or not to be, nl:To be, or not to be"
iPhone 5S,,,technology,"mobile, phones, iphone","The iPhone 5S (stylized and marketed as iPhone 5s) is a smartphone that was designed and marketed by Apple Inc. It is the seventh generation of the iPhone, succeeding the iPhone 5. The device was unveiled on September 10, 2013, at Apple's Cupertino headquarters. It was released on September 20, 2013, along with its lower-cost counterpart, the iPhone 5C.","de:IPhone 5s, es:IPhone 5s, fr:IPhone 5s, nl:IPhone 5s"
Megan Fox,,1986 ♀,culture,"american, actresses, people","Megan Denise Fox (born May 16, 1986) is an American actress and model. She began her acting career in 2001, with several minor television and film roles, and played a regular role on the Hope & Faith television sitcom. In 2004, she made her film debut with a role in the teen comedy Confessions of a Teenage Drama Queen. In 2007, she co-starred as Mikaela Banes, the love interest of Shia LaBeouf's character, in the blockbuster action film Transformers, which became her breakout role. Fox reprised her role in the 2009 sequel, Transformers: Revenge of the Fallen. Later in 2009, she starred as the eponymous lead in the black comedy horror film Jennifer's Body. Fox is also considered one of the modern female sex symbols and has appeared in magazines such as Maxim, Rolling Stone and FHM.","de:Megan Fox, es:Megan Fox, fr:Megan Fox, nl:Megan Fox"
Procurement,,,economy,"procurement, terms, business","Procurement is the process of finding and agreeing to terms, and acquiring goods, services, or works from an external source, often via a tendering or competitive bidding process.","de:Beschaffung, es:Aprovisionamiento, fr:Approvisionnement, nl:Inkoop"
Phishing,,,technology,"confidence, fraud, deception","Phishing is the fraudulent attempt to obtain sensitive information such as usernames, passwords and credit card details by disguising as a trustworthy entity in an electronic communication. Typically carried out by email spoofing or instant messaging, it often directs users to enter personal information at a fake website, the look and feel of which are identical to the legitimate site.","de:Phishing, es:Phishing, fr:Hameçonnage, nl:Phishing"
Amyotrophic lateral sclerosis,,,health,"unsolved, atrophies, central","Amyotrophic lateral sclerosis (ALS) is a specific disorder that involves the death of neurons. In a number of countries the term motor neurone disease (MND) is commonly used, while others use that term for a group of five conditions of which ALS is the most common. ALS is characterized by stiff muscles, muscle twitching, and gradually worsening weakness due to muscles decreasing in size. This results in difficulty speaking, swallowing, and eventually breathing.","de:Amyotrophe Lateralsklerose, es:Esclerosis lateral amiotrófica, fr:Sclérose latérale amyotrophique, nl:Amyotrofe laterale sclerose"
Captain Marvel (Marvel Comics),,,culture,"comics, marvel, characters","Captain Marvel is the name of several fictional superheroes appearing in American comic books published by Marvel Comics. Most of these versions exist in Marvel's main shared universe, known as the Marvel Universe.","de:Captain Marvel (Marvel Comics), es:Capitán Marvel (Marvel Comics), fr:Captain Marvel (Marvel Comics)"
Tanzania,6°18′25″S 34°51′14″E,,region,"countries, states, territories","Tanzania /ˌtænzəˈniːə/, officially the United Republic of Tanzania (Swahili: Jamhuri ya Muungano wa Tanzania), is a country in East Africa within the African Great Lakes region. It is bordered by Kenya and Uganda to the north; Rwanda, Burundi, and the Democratic Republic of the Congo to the west; Zambia, Malawi, and Mozambique to the south; and the Indian Ocean to the east. Kilimanjaro, Africa's highest mountain, is in northeastern Tanzania.","de:Tansania, es:Tanzania, fr:Tanzanie, nl:Tanzania"
Hunger (2008 film),,,culture,"films, irish, british","Hunger is a 2008 historical drama film directed by Steve McQueen and starring Michael Fassbender, Liam Cunningham, and Liam McMahon, about the 1981 Irish hunger strike. It was written by Enda Walsh and McQueen.","de:Hunger (2008), es:Hunger (película de 2008), fr:Hunger (film, 2008), nl:Hunger (film)"
Deloitte,,,industry,"companies, firms, united","Deloitte Touche Tohmatsu Limited /dəˈlɔɪt ˈtuːʃ toʊˈmɑːtsuː/, commonly referred to as Deloitte, is a multinational professional services network. Deloitte is one of the ""Big Four"" accounting organizations and the largest professional services network in the world by revenue and number of professionals.","de:Deloitte, es:Deloitte, fr:Deloitte, nl:Deloitte Touche Tohmatsu"
Donald Trump,,1946 ♂,politics,"american, businesspeople, york","Donald John Trump, Sr. (born June 14, 1946) is an American businessperson and media personality. He is the chairman and president of The Trump Organization and the founder of Trump Entertainment Resorts. Trump's career, branding efforts, personal life, wealth, and outspoken manner have made him famous throughout the country. Since 2015, he is also the front-running candidate for the Republican nomination for President of the United States in the 2016 election.","de:Donald Trump, es:Donald Trump, fr:Donald Trump, nl:Donald Trump"
Warsaw Pact,,,military,"treaties, military, alliances","The Warsaw Pact, formally known as the Treaty of Friendship, Cooperation and Mutual Assistance, was a collective defence treaty signed in Warsaw, Poland among the Soviet Union and seven Soviet satellite states of Central and Eastern Europe in May 1955, during the Cold War. The Warsaw Pact was the military complement to the Council for Mutual Economic Assistance (CoMEcon), the regional economic organization for the socialist states of Central and Eastern Europe. The Warsaw Pact was created in reaction to the integration of West Germany into NATO in 1955 per the London and Paris Conferences of 1954, but it is also considered to have been motivated by Soviet desires to maintain control over military forces in Central and Eastern Europe.","de:Warschauer Pakt, es:Pacto de Varsovia, fr:Pacte de Varsovie, nl:Warschaupact"
Sweden,,,region,"countries, member, states","Sweden (i/ˈswiːdən/ SWEE-dən; Swedish: Sverige [ˈsværjɛ] ( listen)), officially the Kingdom of Sweden (Swedish:  Konungariket Sverige (help·info)), is a Scandinavian country in Northern Europe. It borders Norway and Finland, and is connected to Denmark by a bridge-tunnel across the Öresund. At 450,295 square kilometres (173,860 sq mi), Sweden is the third-largest country in the European Union by area, with a total population of over 9.7 million. Sweden subsequently has a low population density of 21 inhabitants per square kilometre (54/sq mi), with the highest concentration in the southern half of the country. Approximately 85% of the population lives in urban areas. Southern Sweden is predominantly agricultural, while the north is heavily forested. Sweden is part of the geographical area of Fennoscandia.","de:Schweden, es:Suecia, fr:Suède, nl:Zweden"
Music download,,,technology,"content, distribution, music","A music download is the digital transfer of music via the Internet into a device capable of decoding and playing it, such as a personal computer, portable media player, MP3 player or smartphone. This term encompasses both legal downloads and downloads of copyrighted material without permission or legal payment. According to a Nielsen report, downloadable music accounted for 55.9% of all music sales in the US in 2012.[nb 1] By the beginning of 2011, Apple's iTunes Store alone made US$1.1 billion of revenue in the first quarter of its fiscal year. Music downloads are typically encoded with modified discrete cosine transform (MDCT) audio data compression, particularly the Advanced Audio Coding (AAC) format used by iTunes as well as the MP3 audio coding format.","es:Descarga de música, fr:Téléchargement de musique, nl:Muziekdownload"
